#{"t_start": 1774396837.3447597, "env_id": "None"}
r,l,t
-397.279028,551,3.206004
-727.475209,1145,9.571641
-329.034262,351,11.522082
-676.075549,2377,34.75026
-7.208758,1012,40.353418
140.621858,817,49.858172
262.202916,429,52.247763
336.191726,296,53.905112
251.524936,550,56.958504
329.273315,383,59.083446
335.889754,398,66.118913
248.369891,454,68.675086
381.716308,233,69.984632
-305.090036,1671,84.367126
343.122462,340,86.277506
382.714181,291,87.906384
394.741458,279,89.476988
307.21187,317,91.255571
435.319697,233,92.565993
406.235319,233,98.630334
348.943436,232,99.951812
401.285076,250,101.360367
392.307899,160,102.267611
402.928363,229,103.559419
413.224085,225,104.834076
441.245543,212,106.029041
369.580028,188,107.091998
375.250445,239,108.439744
442.918111,173,109.414839
389.900972,157,115.335502
407.223749,206,116.505806
423.675333,177,117.505351
399.064799,147,118.33395
409.145002,225,119.601753
425.437676,178,120.603808
380.191197,238,121.944361
439.487509,173,122.929108
445.46378,165,123.860662
347.550017,254,125.294444
415.427987,186,126.346402
429.296656,264,133.000126
444.150017,154,133.869916
440.215351,151,134.727595
422.718059,154,135.600128
430.760157,152,136.46309
416.702984,179,137.475055
428.659254,165,138.411429
463.322852,155,139.285784
393.424957,157,140.174115
446.714934,145,140.991804
457.710084,175,141.978806
444.463631,166,142.916537
437.30092,160,149.044109
444.184061,146,149.869678
452.370923,157,150.755902
392.766057,141,151.550715
453.427044,146,152.374995
394.948233,152,153.233134
412.362219,163,154.151283
427.380002,135,154.91171
414.839003,138,155.687762
436.762083,152,156.546342
431.825846,167,157.489957
439.184625,156,158.374062
468.664877,168,159.316541
407.199864,123,165.472407
431.411557,183,166.490622
472.320001,147,167.30993
461.240879,169,168.248147
415.574812,142,169.044571
416.707263,122,169.719971
452.207619,143,170.511291
409.531575,127,171.214122
389.061068,130,171.936504
426.22774,129,172.650009
425.475073,164,173.562488
424.394193,137,174.319417
473.850175,141,175.097802
426.123478,190,176.149759
381.169249,184,182.100804
442.511524,159,183.000744
424.343551,160,183.902035
415.157193,124,184.601841
431.145029,125,185.309053
399.769498,248,186.719886
437.781081,114,187.365495
416.505039,107,187.977018
432.160031,146,188.785751
427.335303,194,189.855651
439.336059,127,190.557379
440.709502,107,191.146292
399.382358,114,191.799764
384.195717,200,192.927385
425.611225,137,198.615856
478.916459,126,199.326063
405.854731,152,200.179953
426.493033,117,200.839598
445.331423,122,201.527694
457.238393,123,202.220913
460.672274,130,202.952245
447.59145,138,203.724117
409.36661,160,204.622043
453.253991,121,205.30165
490.815954,123,205.989702
423.145644,118,206.650637
405.616996,143,207.454231
461.447685,137,208.223654
443.859848,114,208.864993
471.712757,120,209.536029
401.480593,109,215.229817
393.120268,190,216.300505
443.720076,110,216.918218
433.454343,114,217.559144
486.604435,123,218.252295
417.313311,100,218.813201
396.817695,221,220.058071
459.549033,130,220.794191
436.367592,112,221.412386
466.809431,121,222.086878
479.967132,125,222.78136
436.0545,143,223.576425
461.60454,113,224.204669
449.976794,119,224.8664
426.730422,138,225.630646
448.31186,139,231.789617
464.577562,117,232.456919
427.53761,100,233.01925
435.085531,122,233.708833
432.737054,105,234.299853
409.139543,135,235.06393
452.423109,116,235.724728
455.326037,117,236.379251
446.478812,113,237.030128
432.841517,134,237.788102
479.218373,112,238.422379
467.571934,112,239.054571
459.66048,108,239.66507
450.397341,115,240.315112
451.496904,118,240.978118
411.304382,106,241.57312
453.279693,102,242.146467
395.446402,113,242.78245
455.949087,121,248.424065
463.066965,105,249.013578
426.537385,95,249.549483
434.800367,111,250.172531
425.958202,93,250.69614
436.003383,110,251.314183
464.163853,117,251.970616
506.504348,120,252.644658
471.204074,100,253.211986
412.216984,96,253.750291
437.6339,108,254.358367
429.369246,127,255.072193
419.237839,103,255.65095
433.563422,100,256.214106
427.436084,117,256.87547
501.063998,119,257.544507
462.811838,109,258.159757
449.238494,102,258.734937
423.555806,90,259.241277
507.163463,120,264.838134
430.91667,116,265.491431
434.367585,108,266.100286
485.073969,132,266.845597
499.680592,104,267.431644
476.194942,100,267.994201
453.377822,111,268.621588
489.482575,105,269.215537
496.45298,118,269.882472
433.677183,136,270.65309
449.276152,109,271.268216
423.932046,115,271.918701
452.969071,103,272.501089
484.359265,108,273.110807
502.884859,114,273.755697
463.336092,140,274.54552
455.94032,126,275.257776
480.034734,132,276.013016
436.879861,98,281.601014
468.894213,98,282.156184
418.28583,90,282.671005
446.708555,130,283.40515
452.0378,94,283.943043
486.478161,109,284.557545
438.209333,88,285.054886
418.577719,101,285.622877
445.761948,92,286.140728
477.925348,102,286.714677
457.745891,97,287.26181
452.516535,107,287.863348
448.452684,93,288.388545
437.444518,94,288.917155
402.691081,107,289.517843
495.967578,123,290.207173
442.494149,93,290.730246
422.850851,96,291.270264
407.476066,102,291.845117
445.546743,97,292.394572
444.228812,95,298.046712
477.563355,97,298.590101
458.424329,93,299.11373
420.822091,98,299.666599
446.354619,90,300.173618
493.078581,111,300.799702
462.718364,94,301.329386
464.60203,103,301.907364
466.813612,90,302.413776
453.666169,89,302.913002
477.202141,101,303.483958
506.533155,108,304.097112
420.049268,89,304.59732
460.459061,116,305.2528
481.877198,97,305.806578
438.728553,85,306.286685
434.826131,110,306.906081
413.610501,90,307.413481
492.233236,99,307.971834
469.858759,120,308.648175
436.587452,102,309.227923
480.915303,116,314.787847
449.894078,94,315.320611
452.712712,91,315.838061
424.843603,93,316.366476
466.130084,99,316.928594
444.141654,102,317.505936
428.163338,109,318.127127
430.07442,83,318.599987
429.932112,90,319.112329
485.823277,90,319.624068
422.942471,79,320.075229
480.63156,113,320.717334
482.643531,108,321.333211
400.944331,114,321.981181
436.588856,83,322.453917
474.491115,106,323.055205
493.179684,101,323.615721
451.451394,93,324.134355
488.35606,105,324.717526
453.019014,85,325.190497
463.137139,94,325.714509
455.083104,94,331.085753
428.372977,119,331.747167
457.189543,86,332.226422
450.402637,87,332.708329
409.331643,99,333.258785
479.704741,93,333.777031
425.512259,92,334.287317
489.64335,96,334.819366
473.542514,95,335.34333
502.325284,95,335.873712
422.562042,80,336.319586
494.871821,90,336.817777
442.762123,85,337.288355
477.5712,93,337.806642
467.705458,97,338.340079
431.986151,90,338.836285
415.04034,98,339.377488
439.144584,113,339.999049
472.241189,89,340.491635
421.336602,104,341.066084
442.096105,81,341.513918
502.90367,96,346.746342
436.301201,79,347.191611
450.766339,87,347.684718
427.424566,90,348.191978
463.984979,101,348.760699
457.552236,84,349.233423
461.545775,89,349.73493
469.054331,91,350.249588
460.919417,88,350.745249
482.34673,88,351.242757
474.380914,109,351.868162
465.05212,96,352.410486
451.708905,96,352.955338
438.661074,80,353.407357
472.483258,93,353.932087
