#{"t_start": 1774401330.4195166, "env_id": "None"}
r,l,t
-185.422586,73,1.2871
-266.152022,202,2.402373
-220.549661,96,2.928832
-201.112166,86,3.40501
-213.376706,87,3.881046
-232.639267,120,4.538111
-183.978628,63,4.885881
-181.193035,47,5.147791
-258.628839,142,5.937483
-206.762292,99,6.482395
-295.581102,188,7.525426
-180.206583,51,7.808559
-223.126009,138,8.571114
-218.019367,116,9.205256
-170.486278,41,9.431099
-191.285489,108,10.021339
-178.282883,75,10.431719
-189.021981,66,10.794939
-167.73322,45,11.042396
-198.921649,62,11.381819
-194.379707,84,11.844756
-231.800862,139,17.655873
-213.105653,100,18.216692
-207.294624,96,18.753676
-263.831287,214,19.949353
-112.56932,185,20.993898
-240.73185,143,21.802147
-215.067261,186,22.843653
-193.483871,85,23.320246
-251.694095,189,24.375661
-192.445758,86,24.858379
-222.255833,115,25.501283
-252.873045,282,27.074654
-313.62016,262,28.535945
-136.009725,188,34.936455
-96.541654,122,35.605368
-77.509457,210,36.760196
-214.013357,346,38.666056
-10.82717,174,39.633717
-76.886052,155,40.489043
-375.43402,604,43.844455
-172.678795,379,51.139993
-281.671999,278,52.69041
-138.408417,361,54.706652
-61.800379,310,56.438166
-70.540968,377,58.541789
107.334328,125,59.236382
-171.72406,243,60.591929
365.749196,223,61.840453
37.283334,138,67.216858
-52.715418,314,68.973487
400.244888,201,70.099461
1.589476,339,71.986505
-226.105797,710,75.959118
37.927823,160,76.852666
4.047611,567,85.096747
11.984405,100,85.643638
171.018507,164,86.541385
50.58783,242,87.877109
40.719682,300,89.549987
43.691182,378,91.65731
397.702475,178,92.647663
57.838544,89,93.142613
-36.401543,656,101.956624
71.483057,79,102.394388
444.168845,164,103.307842
447.030972,136,104.063289
410.559142,286,105.651102
39.781461,426,108.031323
-46.106612,514,110.892955
392.09521,131,117.025826
366.569705,177,118.01948
459.666113,138,118.79263
440.581331,164,119.713431
425.275514,140,120.497756
392.299218,242,121.86224
113.09788,319,123.656934
430.138713,106,124.250765
423.053531,210,125.43046
470.651122,112,126.056138
270.851729,413,133.168628
398.19776,139,133.951219
329.062738,254,135.381428
128.176351,77,135.813272
114.212661,88,136.307412
408.21808,140,137.092214
469.227891,100,137.650608
403.906096,112,138.27673
406.599479,102,138.856236
77.917945,123,139.547128
404.166561,167,140.481314
-124.393274,1244,152.530125
393.072609,207,153.684544
314.267339,325,155.497784
394.236197,149,156.327603
104.743319,68,156.706067
-135.209936,881,167.075336
413.011619,114,167.713972
414.766946,102,168.285328
161.094585,92,168.798144
430.971947,122,169.478759
263.350461,472,172.125216
486.339393,114,172.766556
115.739715,96,173.304389
390.550753,145,174.115112
424.303746,140,174.899386
47.065384,84,175.368719
482.321479,109,175.977975
406.234019,102,176.547515
423.541476,85,177.023171
421.0716,139,182.88641
431.731812,99,183.442782
