#{"t_start": 1774414910.8717198, "env_id": "None"}
r,l,t
-236.241424,167,1.834827
-282.987261,292,4.534967
-190.421857,76,5.275437
-479.500451,652,11.901987
-274.947448,214,14.017408
-267.39772,239,16.363994
-187.076434,60,16.977937
-201.555584,1324,36.660465
64.91701,787,42.013874
239.094879,481,56.143279
198.054648,589,60.076273
294.669283,379,62.615424
294.678661,336,64.922475
296.399034,341,67.28269
370.687265,321,78.744831
444.218255,212,80.234499
405.608886,166,81.433599
385.706864,228,83.015081
392.299925,231,84.696923
169.508003,209,86.480698
347.396831,351,89.737258
379.044491,266,92.344508
420.779845,229,94.586868
437.918062,175,116.388247
349.281922,213,118.378167
392.724462,236,120.617404
433.616906,147,122.072556
433.914555,207,124.067894
432.006364,161,125.578191
407.068524,191,127.375236
383.235092,169,128.949733
170.773359,188,130.686538
415.734468,141,131.993128
419.793724,167,133.543847
419.227726,141,154.028656
433.774036,112,155.075377
447.252616,107,156.073226
417.489557,137,157.35191
434.002109,145,158.7099
408.305939,161,160.228178
420.88783,162,161.700844
426.330263,104,162.654458
348.904367,221,164.711172
437.747132,167,166.253042
390.983082,176,167.894695
393.847407,189,169.643618
424.114088,166,171.191698
391.948278,149,172.597301
446.000254,120,192.752845
437.313369,99,193.671112
448.147805,118,194.733809
479.793014,92,195.595598
396.283806,134,196.833662
440.497919,131,198.051693
405.015003,179,199.712189
432.413182,112,200.76171
394.569875,131,201.993102
437.975875,114,203.05489
415.084269,185,204.762423
481.223823,113,205.861491
439.034857,109,206.906558
435.052895,113,208.036999
466.401385,118,209.237533
417.298257,190,231.992347
489.265669,116,233.102671
449.345873,99,234.044973
447.768477,95,234.945888
439.035014,94,235.819357
487.722247,88,236.672154
437.492169,139,238.040419
455.489595,84,238.873366
418.043089,75,239.605957
433.77619,147,241.059045
442.924264,79,241.827592
412.32666,98,242.767345
478.404857,96,243.683589
495.79043,108,244.694586
459.79048,112,245.757815
433.46172,85,246.567416
434.774265,102,247.537873
461.385442,98,248.463701
460.851242,107,249.465483
481.470479,105,250.48756
428.23524,82,251.279337
435.36517,97,276.314108
446.71725,76,277.034388
475.426299,84,277.82206
417.857178,98,278.713582
482.532898,105,279.70117
491.362799,105,280.701163
447.744537,135,281.962117
456.425816,109,282.987974
430.774386,86,283.788208
462.263524,80,284.535436
471.616321,80,285.289781
510.94171,95,286.17377
424.734158,117,287.275915
468.784476,71,287.931873
449.909123,95,288.823915
461.050926,83,289.583718
418.280523,83,290.370718
472.468837,73,291.058076
417.504911,103,292.00825
466.021594,105,293.014094
462.251842,100,293.954101
494.810498,76,294.646296
435.338211,71,316.697047
459.934505,72,317.443516
467.619726,80,318.257493
457.110591,67,318.941858
476.151412,88,319.851547
444.298632,82,320.666183
449.671802,68,321.361494
477.05222,83,322.186102
456.911334,73,322.894813
482.807698,108,323.983765
454.198033,91,324.916485
477.922648,70,325.620419
477.715188,79,326.395516
447.310855,76,327.113087
462.074852,84,327.879368
436.954756,111,328.935684
467.932197,111,329.997812
468.849355,76,330.745522
448.056365,85,331.518731
433.448952,73,332.257691
477.860164,100,333.248344
467.956372,120,334.387288
425.89899,66,335.038588
471.356742,77,335.78863
455.396756,75,361.231505
435.947727,86,362.058329
515.083708,72,362.730182
476.787645,95,363.628603
436.327717,102,364.583516
457.014158,86,365.408006
439.891308,79,366.161577
466.05949,66,366.82059
444.559224,86,367.653357
426.439766,93,368.576206
458.317335,83,369.392762
429.133828,69,370.096089
423.709272,66,370.731125
448.688886,79,371.536446
464.183616,108,372.593426
472.908687,60,373.162483
455.509466,105,374.173596
454.610963,73,374.880373
495.765129,90,375.746275
439.885102,97,376.652189
480.376329,67,377.275801
483.880467,68,377.964839
470.014584,84,378.829389
456.619409,97,379.815604
468.031855,64,380.485132
478.671727,75,400.309802
482.256486,97,400.965933
454.234706,93,401.582829
441.553869,99,402.26328
468.193778,67,402.72148
431.508468,63,403.156446
466.820097,69,403.631728
431.305327,66,404.090957
484.895036,75,404.622623
486.957036,88,405.238874
422.149911,72,405.737658
511.454847,71,406.233655
476.846287,68,406.706209
452.569318,63,407.140065
461.24101,71,407.634782
492.517043,73,408.139495
461.296671,65,408.600316
441.561512,61,409.018796
424.498456,72,409.518867
469.148832,67,409.994736
472.864298,74,410.512402
488.234376,67,410.978239
430.711013,83,411.560934
466.20773,77,412.109579
470.577525,87,412.706773
461.370797,69,413.169657
446.729496,65,413.610575
469.78183,67,414.064244
445.188843,71,425.767603
454.367984,96,426.440499
438.118386,70,426.930788
452.655423,69,427.413824
507.82482,69,427.883757
447.319519,101,428.570524
450.02245,71,429.057725
430.947801,88,429.656027
446.554647,65,430.097759
467.261342,70,430.567804
475.933196,54,430.934387
456.873809,54,431.30889
452.685938,73,431.800454
462.047277,59,432.207351
433.973792,64,432.640261
462.224366,61,433.061307
490.048942,94,433.705524
450.596083,61,434.114722
455.180356,60,434.52773
479.96973,74,435.042748
457.994993,84,435.617973
506.852611,68,436.081496
502.883552,65,436.525571
437.700817,80,437.087651
489.131389,75,437.610888
465.12099,66,438.070284
490.148843,70,438.559927
479.851945,62,438.992788
453.195797,78,439.539246
479.389826,58,449.060054
481.032252,70,449.531319
493.032161,63,449.956416
451.870514,66,450.419407
462.393997,72,450.933712
417.290001,78,451.486961
474.039099,69,451.967184
449.171608,57,452.365601
461.803786,55,452.749023
474.256883,76,453.280907
480.850776,65,453.732555
459.360563,63,454.172616
484.926614,64,454.61954
475.426744,70,455.10788
428.550663,87,455.717892
522.456661,76,456.24764
430.06566,79,456.78944
439.058906,54,457.156279
471.842325,66,457.598986
457.841875,79,458.130582
452.285134,57,458.514795
494.279539,69,458.982818
489.518014,72,459.514609
448.319814,55,459.887227
471.301242,60,460.300638
483.907007,59,460.697035
468.34401,64,461.117324
460.603958,59,461.505357
490.077069,76,462.011551
507.146188,60,462.414522
468.582501,58,462.808479
487.214742,75,474.699132
483.60217,57,475.087918
465.437981,56,475.466401
474.15582,55,475.834458
491.506413,66,476.284203
476.348632,64,476.718335
437.305506,53,477.075016
513.793609,76,477.589097
480.533348,57,477.968977
478.311859,59,478.376065
461.753285,57,478.766218
439.898737,57,479.161893
475.05643,62,479.586656
527.495038,67,480.043327
483.018612,58,480.455424
449.967525,54,480.830521
471.066958,56,481.225806
481.143577,60,481.646325
500.854837,63,482.090811
496.79733,56,482.482488
449.929151,54,482.858281
461.900774,76,483.389475
501.243687,68,483.862671
472.42369,52,484.225587
468.094214,53,484.601202
441.853181,56,484.991158
516.934772,67,485.460877
480.288449,78,486.009455
492.097101,70,486.508034
472.979659,57,486.899054
471.980881,59,487.296272
459.190761,51,487.640792
509.858119,60,488.041803
502.906872,56,497.882387
417.705131,79,498.436428
486.849544,69,498.920187
456.737346,54,499.302414
485.036043,61,499.728159
461.538534,62,500.163793
469.33856,54,500.541853
506.34626,65,500.997158
446.149434,51,501.353939
482.927437,58,501.764071
467.516781,51,502.120393
476.806028,71,502.614765
456.249367,51,502.960521
469.0907,54,503.33274
470.59652,61,503.757936
454.799905,52,504.11744
471.189562,62,504.538262
442.840053,59,504.930777
463.235123,56,505.290929
463.926533,52,505.622994
451.923773,57,505.993232
436.916329,49,506.313335
458.953204,66,506.738275
472.854903,57,507.107611
486.097872,64,507.520997
454.01552,65,507.965751
455.85172,57,508.355167
499.018277,57,508.742164
465.294132,59,509.14589
488.413747,71,509.656621
438.408608,49,509.997796
527.70326,55,510.383806
462.83691,53,510.751871
452.39806,55,511.135741
452.56722,64,511.587812
454.508426,72,531.108052
510.855422,61,531.844642
467.651462,52,532.355528
452.514011,52,532.921043
477.711053,55,533.553175
484.616682,50,534.100756
465.445858,56,534.669087
522.915721,63,535.351022
503.265389,57,535.897043
490.439683,56,536.492375
481.662901,54,537.052842
460.004904,71,537.8003
451.781158,52,538.346746
469.571596,83,539.284936
459.891954,61,539.921874
444.076823,45,540.337353
479.719545,62,541.002555
523.736962,57,541.598288
495.088737,82,542.458211
453.091706,53,543.024238
508.158304,71,543.763244
482.010473,61,544.428924
501.110767,50,544.912772
472.94984,66,545.576068
455.43813,56,546.154059
506.975415,64,546.84506
478.308718,53,547.375733
453.506936,67,548.083361
468.29614,53,548.614811
470.95131,69,549.340559
499.612029,60,549.948816
463.170577,54,550.49096
474.537124,51,551.023
506.139147,55,551.602544
509.395604,56,552.17741
499.689154,61,574.163013
483.433937,57,574.740228
479.522657,50,575.253575
494.794616,67,575.887937
479.974577,53,576.420054
467.329839,47,576.895433
479.000828,55,577.456388
511.148058,56,578.040559
449.383824,52,578.581987
523.108539,65,579.243087
473.965757,62,579.884902
490.512037,54,580.445574
482.831124,53,580.928056
469.65222,53,581.487966
464.578997,52,582.0116
524.774843,54,582.566487
496.528038,47,583.028706
461.125116,56,583.604937
500.879969,66,584.278777
467.671367,47,584.755403
511.878845,51,585.279783
530.573739,57,585.862565
467.347547,47,586.322556
449.354856,44,586.752373
464.33379,45,587.230925
466.042208,47,587.71069
480.54576,59,588.347933
489.000688,48,588.864239
460.958123,49,589.387077
465.325498,51,589.947041
472.834996,54,590.488158
460.579234,46,590.970939
439.303112,67,591.704327
501.74082,53,592.249115
449.072738,50,592.811111
454.956123,81,593.686562
457.849578,50,594.252925
471.868099,57,616.749675
464.420226,47,617.21279
443.106754,43,617.634242
458.833735,44,618.080903
493.709059,69,618.798757
501.500452,62,619.429377
475.128904,46,619.921934
446.962091,64,620.592883
436.097788,46,621.064862
502.222969,58,621.693789
481.400051,49,622.142769
482.234712,48,622.660527
495.045704,60,623.33184
482.669344,57,623.91501
508.170331,53,624.486165
460.393692,58,625.124792
461.633345,53,625.70397
472.402887,50,626.19062
512.986575,49,626.700198
436.207785,46,627.189206
446.698549,44,627.710413
505.338663,64,628.392145
437.717162,42,628.859662
477.160109,48,629.368297
483.228522,71,630.058238
466.004263,52,630.588716
456.159806,44,631.052694
434.923883,47,631.524168
476.163526,43,631.979453
457.727055,47,632.459165
484.3282,49,632.980727
497.835277,54,633.535628
