#{"t_start": 1774402235.6478279, "env_id": "None"}
r,l,t
-305.95705,349,2.102948
-302.210387,314,3.855911
-630.416749,934,9.09968
-297.823349,1586,22.911139
-268.830556,726,26.982492
192.340705,529,35.326544
275.31187,373,37.417284
253.219304,410,39.711632
330.19369,346,41.64215
284.667853,510,44.503879
370.202805,295,51.294892
373.357395,261,52.752707
349.642631,283,54.318373
426.536506,193,55.372569
369.408174,245,56.711348
377.839154,239,58.022258
280.501501,390,60.152454
390.139383,291,67.030886
400.01798,117,67.68028
427.191069,156,68.537771
410.14544,145,69.337432
403.279584,204,70.468212
336.233123,297,72.112999
394.032455,162,73.005578
391.950628,202,74.113941
403.627439,224,75.351458
396.86911,218,76.559138
385.72783,248,83.166721
431.086707,181,84.179167
444.581702,132,84.917733
442.252001,145,85.732316
449.140218,119,86.398285
456.619304,115,87.039991
421.503594,173,88.008301
462.514289,122,88.689136
439.394465,103,89.264795
453.75741,105,89.851491
406.94634,217,91.06326
475.247988,131,91.794522
464.146602,144,92.597189
444.574113,163,93.507736
404.051518,149,94.337774
449.802846,91,100.093619
422.920987,104,100.673685
446.886431,120,101.344175
422.569633,112,101.968735
455.738975,139,102.742807
455.540363,105,103.329475
470.935373,91,103.843219
429.930899,85,104.317375
493.557513,127,105.025426
426.31176,106,105.614848
424.966882,137,106.3817
419.400933,117,107.038316
415.314187,108,107.6417
423.440493,98,108.184878
446.009862,118,108.835577
403.519057,152,109.673231
432.898991,89,110.157993
415.378721,104,110.730852
425.020974,122,116.341779
445.807037,91,116.844212
515.440892,109,117.450551
448.688574,78,117.880676
471.758762,94,118.399559
449.912861,120,119.0685
430.422469,116,119.709064
497.507009,94,120.227463
473.195677,113,120.857906
427.634271,83,121.331492
463.690498,109,121.943648
444.317984,81,122.400044
454.584188,87,122.892084
441.656985,86,123.373771
434.447068,107,123.975481
404.606962,107,124.578318
427.117576,121,125.257906
459.67547,97,125.801168
440.594798,92,126.316078
477.56474,119,126.983502
474.163474,86,127.46899
449.94006,83,132.544628
481.321422,89,133.041582
440.057405,63,133.391939
481.688961,82,133.850179
476.388174,106,134.441437
457.821877,90,134.943726
472.794891,94,135.473197
