#{"t_start": 1774401330.420359, "env_id": "None"}
r,l,t
-204.586301,91,1.387471
-208.339482,132,2.117534
-186.500549,80,2.556999
-216.213254,121,3.224205
-191.726363,62,3.563979
-203.127691,70,3.947364
-190.794146,66,4.307155
-176.465638,55,4.610861
-194.813559,84,5.076606
-179.235682,67,5.451419
-193.554923,83,5.910151
-197.548326,90,6.406264
-201.763675,94,6.927533
-187.90693,56,7.236589
-185.354644,82,7.692998
-225.130806,125,8.383965
-221.545834,136,9.130689
-182.203911,53,9.421046
-186.221937,62,9.759043
-265.395345,163,10.654192
-228.459665,149,11.469035
-223.499825,141,17.285326
-177.648877,65,17.651202
-197.57857,194,18.737722
-225.342569,152,19.588909
-186.911964,272,21.126107
-253.53516,213,22.318752
-256.351691,217,23.533196
-347.467659,424,25.90409
-194.928859,181,26.915177
-272.826338,251,28.313582
-166.6944,78,34.108582
-318.733295,349,36.033211
-503.744964,732,40.072345
-165.80673,241,41.406367
-179.334409,350,43.341128
-306.722617,343,45.253584
136.885636,234,51.750613
-147.890204,197,52.846751
5.877596,194,53.930375
-2.227648,215,55.130312
-257.183668,574,58.337565
100.795259,159,59.22067
72.026649,111,59.842379
-163.38959,223,61.083348
-178.113811,284,67.279892
111.278223,155,68.14613
-22.103247,303,69.84036
56.814333,143,70.64182
-104.76452,408,72.917009
158.137708,217,74.127279
52.561512,99,74.681978
30.362655,452,77.210547
20.270405,230,83.599004
201.602733,148,84.414399
8.153751,205,85.533129
386.737265,182,86.531618
370.942795,185,87.549813
-103.253577,466,90.148091
184.618227,117,90.799634
79.237877,431,93.19926
97.152156,371,100.430392
422.621491,140,101.206885
443.668604,152,102.051783
385.797295,193,103.124774
388.459617,220,104.347918
149.318862,97,104.886748
437.124152,175,105.859573
3.539445,393,108.054591
438.285426,137,108.816118
-902.700992,2803,134.735703
158.394571,81,135.192203
442.724088,173,136.161344
428.498503,110,136.7802
414.983134,105,137.365599
389.375038,145,138.176435
429.221136,112,138.812387
154.151209,70,139.205616
413.818166,128,139.923152
441.559162,191,140.991515
466.116487,96,141.531611
414.346196,95,142.073385
403.023866,128,142.794371
95.937436,67,143.171658
389.700772,146,143.987929
447.511556,134,149.817829
410.472628,145,150.628164
381.338138,153,151.481385
410.158788,96,152.014355
457.224715,143,152.807942
446.356722,108,153.408552
489.042077,124,154.103988
445.394127,102,154.669775
459.815809,86,155.150156
429.015312,151,155.993936
463.236099,111,156.612036
139.834213,61,156.949609
482.828493,103,157.522534
410.695413,145,158.33419
417.488191,93,158.850763
431.358819,160,159.740633
-1975.763957,4924,202.525776
453.296834,123,203.195503
498.103745,99,203.73939
-2342.809857,5666,249.889422
419.785442,113,250.521637
503.751776,79,250.952679
436.608605,85,251.415616
476.479425,88,251.897817
102.776564,73,252.298256
460.941216,75,252.706594
486.819664,79,253.136446
424.397103,133,253.862711
435.253037,187,254.895594
431.575489,95,255.412665
483.715274,87,255.885573
482.775066,85,256.34903
81.68581,59,256.671041
80.65334,78,257.09641
447.913218,69,257.471763
469.245862,84,257.928526
396.817716,153,258.766608
379.894477,287,265.63746
471.408206,85,266.109539
493.040307,83,266.574177
509.753792,86,267.054205
467.590213,108,267.654051
478.290932,79,268.094121
442.884683,68,268.470894
481.833028,102,269.03916
497.214257,86,269.518201
132.670766,48,269.785687
468.313269,76,270.208256
455.736575,68,270.587812
489.574237,88,271.080315
430.42474,107,271.675004
151.402863,58,271.998953
464.912749,88,272.490983
506.983859,94,273.020277
442.361691,86,273.493977
449.999258,121,274.156779
68.667615,52,274.446396
507.073612,81,274.894339
111.334464,53,275.184435
488.793297,78,275.617635
481.680987,71,280.783262
323.051181,368,282.834431
399.598823,163,283.739338
460.400632,64,284.094664
460.483782,76,284.517452
101.110512,53,284.811256
429.125852,61,285.155328
431.056208,178,286.152137
466.929014,62,286.496982
139.302406,52,286.786278
