#{"t_start": 1773027223.4281223, "env_id": "None"}
r,l,t
-390.204709,50,1.622487
-492.36116,72,2.793587
-335.663235,39,3.435507
-396.396217,51,4.262167
-356.00708,46,5.013156
-442.907108,59,5.958303
-461.891737,64,6.986318
-433.287338,64,8.019011
-389.67974,50,8.824643
-380.465399,48,9.594873
-386.816347,54,10.463604
-581.782243,87,11.862128
-334.193887,38,12.472136
-644.698511,104,14.144066
-631.788046,102,15.785466
-468.417711,67,16.862559
-615.70489,95,18.398344
-296.140238,30,18.883183
-545.926993,84,20.236772
-373.569645,49,21.034197
-545.324875,84,22.391681
-279.095456,29,22.86124
-401.556247,51,23.695024
-355.293231,44,24.414645
-321.117385,36,25.001162
-338.627582,39,25.640156
-314.655008,35,26.205353
-308.944565,33,26.736264
-472.596947,67,27.818243
-353.34838,40,28.474066
-368.541741,49,29.280684
-269.604762,27,29.721481
-424.309291,56,30.634371
-277.259188,27,31.073349
-482.29651,69,32.19861
-545.51628,81,33.52114
-533.091674,79,40.354097
-597.002525,120,42.410278
-402.249776,53,43.319023
-537.154392,84,44.754603
-934.940516,172,47.687202
-379.893812,47,48.491166
-486.245109,70,49.686912
-549.431695,85,51.144171
-424.69511,63,52.2138
-1056.365507,190,55.44376
-434.982981,59,56.439251
-653.944029,106,58.223715
-465.525795,66,59.330197
-955.781578,186,62.431018
-405.26621,55,63.349162
-666.507748,111,65.200797
-1200.354804,217,68.824476
-397.715717,50,69.657479
-711.807522,129,71.80945
-736.279208,120,73.825213
-1020.959056,197,82.250791
-966.151137,172,85.16269
-445.552416,63,86.223336
-385.834219,49,87.056176
-1220.069281,227,90.869758
-796.812678,183,93.946921
-347.927383,46,94.723627
-337.78955,40,95.396555
-487.564893,78,96.710708
-1064.975392,243,100.787323
-781.421631,118,102.78623
-310.154807,38,103.425264
-931.27121,160,106.112064
-698.500616,120,108.122131
-813.190393,181,111.158398
-381.961756,47,111.949782
-703.579524,115,118.87506
-536.114497,108,120.695053
-481.295005,70,121.874315
-784.187,171,124.755945
-1028.694714,213,128.338033
-1125.518135,261,132.789063
-930.134117,191,136.057296
-600.271898,112,137.960798
-534.283243,83,139.378422
-867.470616,185,142.495269
-323.367404,90,144.010866
-385.582046,83,145.39608
-630.504454,142,147.765339
-390.683289,49,148.581465
-430.941494,64,149.649243
-597.542501,114,151.563002
-628.590573,148,159.134542
-355.774564,130,161.342453
-840.597077,192,164.600473
-740.035431,146,167.064548
-358.910541,42,167.772764
-532.912664,79,169.109844
-372.675448,43,169.84076
-1351.180501,318,175.245688
-545.356324,84,176.671478
-325.493946,37,177.298807
-595.160783,117,179.276231
-288.623497,32,179.814738
-534.131219,171,182.695271
-816.932831,187,185.845003
-678.352391,141,188.217099
-1036.768998,218,191.793585
-280.074338,29,192.265807
-221.834872,88,198.466744
-324.978499,36,199.077815
-478.590767,139,201.414273
-244.012225,70,202.587038
-423.2237,120,204.607581
-592.846407,159,207.289128
-378.787013,49,208.105511
-228.876114,115,210.036283
-461.74461,112,211.920696
-918.819954,238,215.936054
-312.613304,87,217.390514
-699.65996,164,220.147353
-776.207387,143,222.545632
-783.069386,169,225.437314
-510.251387,125,227.578704
-339.317098,45,228.342387
-873.187932,200,231.779995
-290.253555,102,238.868478
-936.20655,248,243.057208
-647.245751,148,245.556791
-450.365669,106,247.353983
-304.778742,108,249.173964
-251.111899,91,250.703545
-200.270976,57,251.663693
-174.292234,63,252.726637
93.323118,96,254.346551
-360.571629,97,255.989651
-437.457506,131,258.204894
-309.783357,32,258.744839
-285.10233,89,260.253225
-228.504421,78,261.575157
-231.163175,95,263.180803
-114.563382,78,264.493624
-348.887877,45,265.250802
-280.896018,100,266.940993
-158.309718,74,268.192251
-663.049467,110,270.051259
-795.473578,207,279.200566
-445.493272,134,281.487555
-658.219149,146,283.969915
-506.369309,125,286.089213
-484.527089,136,288.393861
-437.780159,132,290.629013
-142.090886,59,291.630689
-566.20145,141,294.0224
-133.016609,81,295.398552
-76.859675,65,296.499008
-368.698365,50,297.343513
-312.662839,79,298.686807
-411.368584,117,300.675738
-692.810716,163,303.437452
-347.629975,131,305.656604
-146.308137,59,306.652604
-179.78999,99,308.320178
-577.939814,172,311.218862
-272.661666,104,317.762928
-324.33537,131,320.000292
-96.304175,86,321.465699
150.790068,82,322.866202
-292.917436,88,324.378632
-126.3898,71,325.605019
-165.736174,92,327.177555
193.011483,77,328.494135
-315.289806,126,330.642192
-402.677331,127,332.807767
-99.561993,70,334.001378
