#{"t_start": 1773027223.4272294, "env_id": "None"}
r,l,t
-369.012312,46,1.552295
-383.904577,47,2.32337
-448.678761,59,3.283071
-539.350405,79,4.568219
-330.826744,35,5.135697
-473.490962,59,6.083317
-455.676549,60,7.045518
-459.916222,55,7.933847
-523.189238,81,9.237116
-313.082016,32,9.751675
-301.283527,31,10.249401
-360.954472,44,10.958132
-357.439975,41,11.61715
-403.214086,52,12.451241
-356.968439,49,13.236628
-369.057951,45,13.960355
-431.683448,56,14.859017
-451.027255,60,15.828707
-411.388588,54,16.695597
-590.570923,92,18.183028
-315.527667,38,18.797821
-359.12656,43,19.486423
-436.549729,54,20.361942
-617.479502,102,22.016281
-398.535438,55,22.905919
-404.4787,54,23.786842
-364.67125,48,24.574094
-309.736459,31,25.07878
-424.529164,62,26.086697
-525.355195,77,27.328166
-411.588291,57,28.255056
-459.368672,64,29.30842
-406.412682,54,30.189783
-440.92611,60,31.165613
-331.090073,41,31.836483
-370.296596,44,32.552462
-339.52419,44,33.272653
-603.866648,91,40.297574
-700.219321,113,42.233376
-613.892439,98,43.916946
-545.663077,80,45.279944
-421.938744,59,46.285968
-732.032213,125,48.415909
-295.411544,32,48.963554
-654.184166,115,50.933896
-844.346271,153,53.530061
-375.526063,49,54.365713
-557.613776,82,55.759138
-500.767189,76,57.04452
-676.372431,106,58.824798
-457.026043,64,59.891586
-670.677681,112,61.759475
-354.576652,43,62.475692
-636.109692,101,64.161927
-472.622514,67,65.279063
-588.442839,88,66.746245
-461.547443,63,67.800105
-512.938614,77,69.086127
-581.176506,86,70.521041
-660.037082,125,72.605671
-335.342163,43,73.32631
-794.519604,180,81.470761
-649.703127,129,83.642543
-435.535921,59,84.642544
-432.974931,60,85.662533
-1109.793371,202,89.068095
-648.711062,98,90.713767
-470.652928,68,91.855671
-814.391458,175,94.803671
-946.436926,171,97.679919
-363.731632,45,98.433359
-645.525342,109,100.264021
-632.69716,100,101.9495
-509.880905,74,103.200869
-425.648987,61,104.229221
-407.214091,53,105.115619
-872.194601,153,107.681119
-886.928303,155,110.282904
-582.047068,92,111.825953
-507.328239,72,113.049628
-322.6031,37,118.649073
-502.212544,109,120.486121
-398.027528,53,121.381111
-326.177861,38,122.020861
-663.781441,138,124.346609
-460.899105,65,125.441014
-221.875524,81,126.800444
-1207.161188,224,130.573892
-511.192073,82,131.96894
-562.787628,157,134.687247
-1321.645443,317,140.088154
-978.959919,224,143.855206
-646.856536,107,145.640927
-817.456558,180,148.643671
-765.032879,178,151.624411
-468.373034,72,152.827103
-531.615072,147,160.404325
-715.425553,154,163.01741
-399.521735,53,163.91624
-427.071684,126,166.046825
-493.044306,136,168.341104
-566.458444,148,170.856664
-383.598147,47,171.656248
-545.876988,96,173.288922
-343.70401,136,175.595941
-1141.782215,261,180.0119
-313.454788,80,181.364828
-403.688155,55,182.29182
-618.366003,181,185.340447
-627.684067,125,187.43091
-1335.578516,291,192.228496
-402.894136,49,197.77271
-836.633717,218,201.442852
-521.959995,80,202.784565
-392.354464,112,204.669608
-538.399216,79,205.989018
-387.540608,116,207.949801
-423.28156,57,208.906116
-397.577853,127,211.032504
-434.553124,125,213.144296
-467.508202,137,215.450898
-324.375331,108,217.268584
-535.565846,140,219.620247
-323.9524,119,221.621644
-338.495782,111,223.475333
-1265.187318,288,228.421971
-539.059565,157,231.126762
-433.467365,64,237.572792
-351.643131,42,238.286122
-561.26941,109,240.129469
-168.745692,68,241.278924
-334.611711,86,242.731951
-429.475503,133,244.975924
-628.266665,159,247.66955
-263.505766,82,249.051496
-371.641903,80,250.3966
-675.844337,161,253.11145
-185.08671,69,254.273473
-764.869546,175,257.234076
-400.998578,48,258.048885
-438.744227,118,260.04347
-284.15692,30,260.553672
-252.837103,93,262.128509
-529.498747,160,264.823846
-177.126706,86,266.275937
-232.392579,74,267.526558
-363.874853,46,268.305678
-659.311385,163,271.060336
-250.529452,105,278.480491
-554.565458,137,280.815899
-651.472317,153,283.419932
-118.939061,57,284.389487
-327.339171,85,285.830876
-398.194676,119,287.843667
-77.607248,78,289.167495
-243.237744,75,290.435567
-677.972188,176,293.424223
-305.384377,102,295.153515
-347.711115,109,297.000508
-775.437008,201,300.416547
-426.449599,126,302.551999
-221.236944,84,303.973943
-648.119559,164,306.748539
-562.554635,145,309.188292
-275.181855,116,311.14577
-215.112156,87,317.399779
-516.227751,160,320.132236
-200.084141,87,321.613767
-420.480825,118,323.631946
-328.920804,120,325.703736
-328.280016,39,326.372606
-36.868207,64,327.46223
-155.517691,71,328.676444
-153.960242,94,330.27761
-304.355723,122,332.358211
-268.233148,109,334.21614
-285.360739,109,336.069728
-153.562004,68,337.228441
-84.849078,91,338.779301
-125.375073,53,339.68367
-67.439261,71,340.896793
-118.508067,63,341.973042
-436.032522,105,343.765975
-208.132424,86,345.235549
-224.968424,119,347.271645
-415.64605,128,349.452608
-140.13477,65,350.558438
-93.782562,68,351.716345
-104.067836,67,357.924334
-270.576152,79,359.233093
-233.979527,68,360.373988
-54.808194,81,361.733272
-106.137211,57,362.682051
-150.703192,71,363.86723
-275.816433,84,365.27138
-139.465534,76,366.546106
-161.899993,85,367.971208
-152.972483,98,369.613808
-262.215573,93,371.1778
-185.294348,64,372.246765
145.421604,71,373.422743
-290.788245,112,375.298481
-182.442046,83,376.693982
-32.022322,54,377.592336
-403.58479,156,380.189384
78.094113,89,381.678597
-241.121293,72,382.87827
-122.145335,77,384.164902
134.506171,74,385.399269
-254.655873,110,387.229474
-234.501703,89,388.727631
-356.160283,124,390.79294
-121.528509,64,396.849187
-149.975073,65,397.932745
-85.737568,91,399.446041
-89.721526,46,400.213312
-362.292641,89,401.695769
-45.582859,58,402.664083
-204.250954,78,403.966532
230.181975,76,405.237082
-490.029925,119,407.220252
-333.297536,99,408.872055
-54.34681,70,410.040386
138.319892,86,411.46832
-182.745646,76,412.741625
-169.109634,67,413.868235
-6.503537,55,414.789852
-113.692903,61,415.807717
-173.052217,100,417.481129
-299.432313,124,419.556422
-127.4037,76,420.821207
-107.262171,58,421.789191
168.441506,76,423.05376
-177.73756,70,424.224752
-91.84767,54,425.131561
108.677773,90,426.640967
-122.595558,54,427.541144
6.3463,60,428.545207
-12.75115,83,429.930175
-92.898445,59,436.078922
-158.266846,64,437.169693
100.14926,100,438.871117
-326.047477,104,440.640121
-37.880377,62,441.691086
-82.982147,46,442.473156
-162.227156,100,444.167794
-72.12673,62,445.22679
-175.387515,90,446.763404
-267.681942,128,448.905926
-377.607636,97,450.534482
-123.996997,91,452.057055
133.872202,77,453.339683
-114.329859,51,454.184862
-58.25105,52,455.054206
-387.273148,119,457.078278
-127.67962,74,458.335419
-346.364711,99,460.007525
-77.809202,63,461.07384
-23.941891,52,461.945672
-45.113575,64,463.026084
-162.749626,76,464.316523
-69.033274,60,465.33718
-236.653952,114,467.265276
-259.493241,114,469.193768
50.548149,55,470.129121
-205.203482,111,477.01483
-79.281013,65,478.128123
-207.779695,98,479.806661
8.73427,54,480.727803
-254.860539,83,482.145528
193.283992,63,483.221276
-171.685515,102,484.966597
-139.532918,76,486.271622
-5.133025,55,487.21521
-30.293289,65,488.320277
16.916866,58,489.312548
-143.842693,60,490.341769
-204.935346,82,491.740599
82.898808,58,492.729864
-51.730564,68,493.891106
-157.89548,75,495.173373
73.282673,94,496.778939
-51.457355,60,497.804907
-51.567209,73,499.043751
-189.437595,69,500.220839
155.629581,73,501.471362
-171.561042,108,503.320001
-374.273416,106,505.120793
179.30985,73,506.361814
-97.95647,72,507.584061
-4.827766,52,508.471267
-128.629507,92,510.040721
14.895139,39,516.269921
-193.188976,94,517.884083
224.455515,62,518.947591
-241.932802,113,520.885343
37.064194,104,522.674075
-38.838369,82,524.079597
-192.587356,82,525.481185
81.151873,63,526.562277
-138.977391,74,527.832687
-165.532593,88,529.337298
-57.70467,58,530.327374
41.343872,56,531.287281
-129.291718,68,532.451032
-145.564812,80,533.825681
17.782492,53,534.732682
-0.467724,48,535.556717
