#{"t_start": 1772656689.214691, "env_id": "None"}
r,l,t
-61.213565,25,0.524868
-61.473342,25,0.636231
-64.151719,25,0.755379
-63.893983,25,0.871122
-61.407237,25,0.986742
-63.361618,25,1.096093
-62.315303,25,1.205733
-62.366296,25,1.324616
-62.118043,25,1.446324
-62.392371,25,1.569441
-63.236933,25,1.695898
-63.145953,25,1.819997
-62.725853,25,1.936575
-63.521717,26,2.060189
-62.117592,25,2.177443
-61.010512,26,2.302795
-62.26752,25,2.415554
-61.641535,25,2.532649
-63.625599,25,2.647647
-61.557956,25,2.76374
-63.208251,25,2.881684
-61.106155,25,3.003561
-62.538203,25,3.123663
-63.661518,25,3.238693
-63.548523,25,3.351867
-63.062853,25,3.466448
-64.139567,25,3.58116
-63.533811,25,3.703547
-63.639726,26,3.828166
-62.538178,27,3.958758
-61.750383,25,4.077375
-61.475995,25,4.191986
-62.436963,25,4.307199
-62.161219,25,4.442761
-59.970939,25,4.558859
-62.56512,25,4.678265
-60.108393,25,4.810627
-63.017,25,4.92823
-62.197675,25,5.048999
-62.982657,25,5.171623
-60.389575,25,5.295011
-60.794838,25,5.416938
-62.44437,25,5.535051
-63.209987,25,5.649881
-62.790233,25,5.771715
-62.590169,25,5.890917
-61.065111,25,6.012186
-62.804693,26,6.136011
-62.193634,25,6.256584
-62.610599,25,6.392875
-63.306895,25,6.515969
-60.980697,25,6.637351
-64.09693,25,6.756975
-62.477058,25,6.86953
-63.486748,26,6.995601
-60.927652,25,7.115251
-62.36968,25,7.23994
-61.080131,25,7.374126
-62.216019,25,7.501768
-62.397063,25,7.627509
-63.533465,25,7.746142
-62.466728,26,7.882354
-60.734056,25,8.009571
-63.85926,26,8.145971
-61.670276,25,8.259689
-61.425344,25,8.378738
-61.942313,25,8.492379
-61.448951,25,8.608846
-63.385638,25,8.734735
-63.295577,25,8.915353
-63.293578,25,9.061897
-62.562578,25,9.1813
-61.582406,26,9.308365
-62.855522,25,9.435135
-62.649485,27,9.568464
-62.822744,26,9.690722
-63.262835,25,9.809473
-61.720996,25,9.927119
-63.667147,25,10.046262
-61.682442,25,10.167001
-63.521058,25,10.286693
-62.967012,25,18.299938
-60.927922,25,18.416132
-62.143941,25,18.536935
-61.907582,25,18.657558
-61.677862,25,18.786036
-59.588907,25,18.910084
-62.347582,25,19.028197
-62.993192,26,19.152438
-63.12501,25,19.264054
-61.354306,26,19.390495
-62.166441,25,19.510579
-60.357072,25,19.631162
-63.19319,25,19.748822
-63.045456,25,19.863763
-63.480928,25,19.981849
